CHILD,SEX,DOB,ETHNIC,UPN,MOTHER,MC_DOB
P4040346,2,31/10/2003,MWAS,U845210108002,0,
P4048287,2,11/03/2001,WBRI,F845216704026,,
P4058540,2,13/06/2005,WBRI,E845215108018,0,
P4071496,1,06/04/2005,WROM,C845301508092,,
P4073280,1,07/02/2003,WBRI,H845209507004,,
P4073282,1,06/10/2004,WBRI,V845209509025,,
P4081167,2,01/06/2006,WBRI,X845212710070,0,
P4086922,1,06/08/2006,WBRI,C845210110030,,
P4088508,1,10/06/2003,WBRI,R845309307038,,
P4090637,1,15/02/2003,WBRI,E845211305025,,
P4090638,1,23/01/2005,WBRI,F845301508094,,
P4092068,2,15/03/2007,WBRI,Y845210411045,0,
P4093270,1,07/07/2007,MWBC,F845212110040,,
P4095377,2,05/01/2007,WROM,X845305811027,0,
P4106380,1,02/09/2003,MWAS,Y845213608039,,
P4110273,1,17/11/2002,WBRI,F845216107013,,
P4111842,2,22/04/2008,WBRI,F845300212008,0,
P4112866,1,14/05/2003,WBRI,J871520807031,,
P4125619,1,11/07/2004,WBRI,F845702408002,,
P4127611,2,01/10/2008,WBRI,U845303213003,0,
P4131139,2,22/02/2008,WBRI,E845210412023,0,
P4143987,2,17/09/2009,MOTH,R845211214023,0,
P4149782,1,18/10/2005,WBRI,M845213610105,,
P4150363,1,22/12/2005,WBRI,F845205308039,,
P4161666,2,15/09/2000,WOTH,X845702109006,,
P4166004,2,05/05/2010,MWBC,K845210814061,0,
P4166386,2,22/05/2010,WBRI,W845210814029,0,
P4126889,2,04/06/2008,WBRI,E845212812052,0,
P4077537,1,31/05/2003,WOTH,P845205506022,,
P4088381,1,17/01/2007,WBRI,B845208811075,,
P4044661,2,07/06/2000,WBRI,Y845309304041,,
P4178058,2,08/06/2011,WBRI,X845703015014,0,
P4133097,2,12/10/2008,WBRI,J845302813010,0,
P4086257,2,29/01/2006,WBRI,W845215009050,0,
P4081944,1,15/01/2002,WBRI,J845332106033,,
P4023632,1,15/06/2000,WBRI,K845703004002,,
P4098594,2,02/06/2004,WIRI,Z845216707025,0,
P4078887,2,14/01/2006,WBRI,G845217010007,0,
P4141987,1,05/02/2005,WBRI,Y845214410058,,
P4078775,2,31/08/2006,WBRI,W845216709025,0,
P4068791,1,11/03/2003,WBRI,U845211307001,,
P4048176,2,02/04/2005,WBRI,D845309209020,0,
P4039757,1,03/09/2004,WBRI,D845215408036,,
P4051211,1,14/05/2004,WBRI,X845212408048,,
P4012172,2,17/04/2000,WBRI,V845210504008,,
P4078190,1,29/11/2005,WBRI,X845216110008,,
P4051209,2,14/05/2004,WBRI,Y845212008020,0,
P4155952,1,14/09/2009,WBRI,Y845212814050,,
P4098593,2,07/02/2001,WIRI,B845335004062,,
P4162749,2,21/10/2010,WBRI,Y845212815049,0,
P4176586,1,12/11/2002,WBRI,D208595008002,,
P4172422,1,06/05/2011,WBRI,T845336215009,,
P4141653,1,07/02/2007,WBRI,X845200011008,,
P4093924,2,02/07/2003,WBRI,M845214806009,0,
P4044662,1,30/03/2002,WBRI,V845309305067,,
P4078886,2,10/07/2004,WBRI,X373422508036,0,
P4007429,1,01/11/2001,WBRI,L845215306017,,
P4141908,1,01/02/2009,WBRI,A845211713014,,
P4048462,2,30/07/2001,WBRI,T845215004041,,
P4035677,1,22/02/2004,WBRI,W845209008040,,
P4111819,1,22/05/2001,WBRI,B845214804008,,
P4058078,1,22/02/2004,WBRI,K845213508046,,
P4077238,1,09/01/2004,WBRI,T845215207039,,
P4044663,1,11/06/2004,WBRI,G845309308033,,
P4114853,1,21/07/2003,WBRI,P845304507005,,
P4023359,1,26/12/2002,WBRI,N845215307031,,
P4107258,1,09/06/2007,WBRI,K845214810042,,
P4170244,2,19/04/2011,WBRI,A845213515056,0,
P4054594,2,24/08/2000,WBRI,K845209004006,,
P4053268,2,19/08/2004,WBRI,F845214808007,0,
P4166688,1,04/09/2000,WBRI,G210216104044,,
P4134504,1,07/10/2003,WBRI,W845207607018,,
P4023452,1,07/06/2002,WBRI,W845215405036,,
P4115320,1,30/04/2008,WBRI,G845215212027,,
P4052000,2,11/06/2004,WBRI,F845215408020,0,
P4058257,1,30/01/2005,WOTH,D845215409008,,
P4084390,2,11/02/2001,WBRI,K845213505043,,
P4080051,2,13/01/2004,WBRI,N845333808005,0,
P4051998,1,14/11/2001,WBRI,Z845215406012,,
P4096134,2,02/11/2006,WBRI,U845213611087,0,
P4023451,2,23/12/2000,WBRI,E845215403049,,
P4077340,1,06/03/2001,WBRI,M846701691015,,
P4133983,2,17/08/2005,WROM,M887264609024,0,
P4012988,1,31/03/2001,WBRI,P845334205007,,
P4079422,1,28/08/2005,WBRI,P845205309001,,
P4051997,1,15/12/2000,WBRI,A845216905009,,
P4155338,1,05/09/2000,WBRI,E845213605042,,
P4104673,1,08/04/2003,WBRI,H845702106002,,
P4195945,1,18/07/2007,WBRI,X812352010079,,
P4075060,1,17/06/2004,WBRI,M845214408021,,
P4136428,1,17/10/2002,WBRI,R886391307017,,
P4194215,1,29/06/2001,WBRI,K845210305035,,
P4136425,2,01/06/2001,WBRI,F886304805021,,
P3150670,1,16/09/2000,WBRI,C845209905008,,
P4114385,1,26/07/2008,WBRI,W845300612023,,
P4134211,1,29/08/2005,WBRI,Y845207608003,,
P4045741,1,02/06/2003,WBRI,U845215406026,,
P4195946,2,07/10/2005,WBRI,G801101609054,0,
P4077423,1,16/02/2006,WBRI,Q845214210037,,
P4090617,1,22/09/2004,BCRB,J845701706006,,
P4073522,1,03/09/2005,WOTH,W845215910056,,
P4047413,1,31/08/2004,WBRI,L845214208033,,
P4202563,1,02/10/2003,WBRI,K886217306029,,
P4085591,2,20/07/2006,WBRI,A845213510022,0,
P4104154,1,01/08/2007,WBRI,P845215411018,,
P4051999,2,09/01/2003,WBRI,W845215407009,,
P4090014,1,17/07/2002,WBRI,N845703006006,,
P4034958,1,22/06/2004,WBRI,K845216208021,,
P4090272,1,03/07/2005,WBRI,N845214410052,,
P4208774,1,20/12/2012,WBRI,D845216017038,,
P4195551,1,10/03/2005,MWBA,Q845205909066,,
P4134212,1,19/09/2004,WBRI,M845207608004,,
P4093701,2,16/11/2006,WBRI,U845213511075,0,
P4112871,1,22/08/2008,WBRI,P845213012050,,
P4168055,1,22/11/2009,WBRI,P845213614012,,
P4134505,1,28/04/2007,WBRI,C845207611010,,
P4192400,2,25/04/2012,WBRI,J845336216024,0,
P4104155,2,01/08/2007,WBRI,D845215411019,0,
P4202564,1,02/10/2003,WBRI,W886217306028,,
P4126032,1,03/12/2012,MOTH,V845309217022,,
P4083954,2,30/04/2003,WBRI,F845213507052,0,
P4119767,2,01/06/2000,WBRI,Q886304804026,,
P4074468,2,28/09/2005,WBRI,Z845213610072,0,
P4131509,1,08/07/2007,WBRI,F845215410029,,
P4193932,1,22/12/2007,WBRI,P845703012014,,
P4059874,1,06/07/2005,WBRI,Q845210309025,,
P4228912,2,24/05/2012,WBRI,J845209516015,0,
P4017731,1,15/12/2002,WBRI,P845210407044,,
P4086989,2,21/07/2005,WBRI,W845703009006,0,
P3021990,1,02/01/2001,WBRI,A845211105006,,
P4159323,1,16/09/2010,WBRI,X845702415003,,
P4045053,2,01/09/2002,WBRI,K845334207016,,
P4185712,1,15/11/2011,WBRI,V845213616108,,
P4095325,1,27/05/2007,WBRI,Z845309211117,,
P4181871,1,14/06/2010,WBRI,Q845701713001,,
P4069017,2,07/07/2003,WOTH,Q845336207037,0,
P4109665,2,28/02/2008,WBRI,E845213612060,0,
P4141347,1,23/10/2009,WBRI,D845213614042,,
P4047740,2,01/12/2000,WBRI,B845212104057,,
P4024268,1,16/02/2002,WBRI,F926217105014,,
P4231687,2,23/02/2014,WBRI,G845215318018,0,
P4103219,2,26/11/2000,WBRI,A845309405007,,
P4133244,1,21/07/2008,WBRI,P845309212029,,
P4039362,2,27/02/2004,WBRI,M845211207068,0,
P4144005,2,18/10/2000,WBRI,X886707005004,,
P4052362,2,16/05/2005,WBRI,F845207208006,0,
P4219489,1,10/09/2013,WBRI,H845214218023,,
P4069748,2,08/03/2003,WBRI,W845206107011,,
P4074466,2,04/04/2004,WBRI,X845213608048,0,
P4117321,2,22/06/2008,MWBC,V845212712088,0,
P4094364,1,15/12/2006,WBRI,H845213611059,,
P4177166,1,24/07/2007,WBRI,U845212411002,,
P4077700,2,24/04/2006,WBRI,K845406317002,0,
P4221579,2,09/09/2013,WBRI,V845201718041,0,
P4074469,1,25/04/2002,WBRI,W826235106002,,
P4177159,1,09/09/2005,WBRI,U837200708040,,
P2032219,1,22/05/2000,WBRI,M845206104020,,
P4069007,1,08/03/2004,WBRI,F845215407017,,
P4059872,1,06/07/2005,WBRI,B845210309024,,
P4093685,1,29/07/2006,WBRI,U845215409031,,
P4156752,1,03/11/2009,WBRI,V845208914028,,
P4033347,1,05/02/2001,WBRI,Y845208805056,,
P4150340,1,23/12/2008,WBRI,D845213014082,,
P4059088,2,25/05/2004,WBRI,Y845215208055,0,
P4144250,1,24/08/2006,WBRI,J856343410057,,
P4216274,1,20/10/2001,WBRI,R845209506020,,
P4144254,2,26/11/2008,WBRI,V845216712046,0,
P4089829,1,08/05/2006,WBRI,R845309010072,,
P4157058,1,02/07/2010,MWBC,V845400214027,,
P4241460,1,24/03/2014,WBRI,T845215418031,,
P4152625,1,16/05/2009,WBRI,P845332113006,,
P4180136,2,15/02/2001,WBRI,E887220905007,,
P4179224,2,29/07/2011,WBRI,G845201115008,0,
P4150059,1,19/05/2008,WROM,K845334212003,,
P4252635,2,05/07/2012,WOTH,X845216116045,0,
P4267473,1,11/09/2000,MOTH,,,
P4024347,2,22/07/2003,WBRI,Z845214407037,0,
P4147068,2,26/04/2008,WBRI,T845332112065,0,
P4132700,2,23/10/2008,WBRI,P845309313044,0,
P4082775,1,18/08/2001,WBRI,J845212104054,,
P4153608,2,02/09/2000,WBRI,H936100104014,,
P4098046,2,22/02/2007,WBRI,U845213011013,0,
P3151973,2,01/01/2001,WBRI,D845214804021,,
P4131536,2,14/07/2009,WBRI,H845216112038,0,
P4201659,2,26/12/2006,WBRI,R845111119002,0,
P4159315,2,19/07/2010,WBRI,E845216713026,0,
P4252654,1,25/12/2005,WOTH,Y845335013080,,
P4252656,2,22/03/2002,WOTH,L845461113028,,
P4144253,2,06/09/2007,WBRI,B845216712052,0,
P4032527,2,17/02/2003,WBRI,P845213005059,,
P4200298,1,16/03/2010,WBRI,Y845216713051,,
P4182033,1,23/08/2010,WBRI,L845309214087,,
P4208523,1,25/09/2011,WBRI,G845332416023,,
P4143813,1,05/12/2006,WBRI,U845216811037,,
P4237938,2,02/03/2003,WBRI,U350200405034,,
P4122804,1,21/03/2007,WBRI,P845217010033,,
P4167999,2,10/10/2010,WBRI,K845332115015,0,
P4221456,1,14/11/2009,WBRI,C845301114028,,
P4105206,2,03/04/2007,WBRI,E845309311034,0,
P4199502,1,23/01/2004,WBRI,P93822381101A,,
P4221458,2,13/01/2012,WBRI,M845301116009,0,
P4032744,1,20/03/2002,WBRI,N845211706006,,
P4189327,2,11/04/2006,WBRI,V845332510008,0,
P4201918,1,03/07/2012,WBRI,N845201115014,,
P4073800,1,03/10/2005,WBRI,L845213010015,,
P4252444,1,26/10/2014,WBRI,Y845200119023,,
P4261061,1,13/05/2013,WBRI,V845200717006,,
P4088518,1,25/07/2004,WBRI,K845217008027,,
P4153208,2,12/12/2000,BOTH,C845212109026,,
P4289813,1,26/06/2000,WOTH,X846401615014,,
P4290537,1,30/06/2000,OOTH,X845461115029,,
P4094817,2,11/05/2002,WBRI,X845212105007,,
P4108693,2,13/04/2008,MWAS,L845205912085,0,
P4175914,2,26/09/2010,WBRI,Z845213715089,0,
P4251279,1,03/08/2010,WBRI,A845333514003,,
P4028610,2,24/08/2003,WBRI,A845212808044,0,
P4149911,2,28/03/2009,WBRI,P845701215006,0,
P4125888,2,16/09/2008,WBRI,X845213613093,0,
P4222821,1,22/05/2001,WBRI,G886261705030,,
P4042044,2,30/09/2004,WOTH,A845212709062,0,
P4236847,2,13/02/2001,WBRI,N850202004006,,
P4280623,1,05/04/2010,WBRI,M317207013050,,
P4077034,2,25/05/2006,MOTH,Q845212710064,0,
P4123020,1,01/08/2008,WBRI,X845212012013,,
P4226008,2,27/05/2013,WBRI,N845200615044,0,
P4221263,2,31/07/2010,WBRI,C845210314002,0,
P4024842,2,27/01/2003,WBRI,D845216106028,,
P4147959,2,13/05/2009,MOTH,H845217012029,0,
P4229861,2,10/11/2012,WBRI,H845207317022,0,
P4077986,1,05/06/2001,WBRI,A845208905023,,
P4171328,1,20/11/2000,WBRI,Y894215503038,,
P4140412,1,15/04/2002,WBRI,R845212406033,,
P4072362,2,14/10/2005,WBRI,Y845216108046,0,
P4155047,2,19/08/2009,WBRI,X845213513079,0,
P4132503,2,24/01/2006,WBRI,Z845216710010,0,
P4102874,1,02/08/2007,WBRI,V845210311031,,
P4249440,1,16/02/2001,MOTH,Y846216304015,,
P4003128,2,15/10/2000,WBRI,L845214405025,,
P4132507,1,27/08/2009,WBRI,G845216712036,,
P4182903,1,30/12/2010,WBRI,A845215414049,,
P4251278,2,26/02/2009,WBRI,P886269213012,0,
P4102362,1,23/11/2007,WBRI,T845213512085,,
P4171217,1,29/10/2007,WBRI,V845211712027,,
P4120668,1,15/07/2008,WBRI,D886267511039,,
P4044088,1,10/02/2001,WBRI,W845214205007,,
P4132504,1,30/04/2007,WBRI,Z845216710037,,
P4129803,2,17/03/2008,WBRI,K845209912052,0,
P4176083,1,04/03/2008,WBRI,W845208812034,,
P4228302,2,18/08/2001,WBRI,C845213605002,,
P4134493,2,26/11/2000,WBRI,,,
P4180371,1,15/08/2011,MWBC,Z845205915042,,
P4214800,2,15/06/2009,WBRI,V846331712009,0,
P4280620,2,10/03/2005,WBRI,Q315208914042,0,
P4167800,1,24/05/2001,WBRI,R938220205033,,
P4073386,2,24/10/2000,WBRI,G845208805044,,
P4117610,2,24/06/2001,WBRI,J881302305007,,
P4160781,1,19/11/2003,WBRI,P846200206028,,
P4280622,2,09/01/2009,WBRI,E317207012023,0,
P4147958,1,04/07/2008,MOTH,W845217011040,,
7001742,1,10/01/2001,OOTH,UN2,,
7004162,1,01/01/2001,OOTH,H845461115030,,
7004245,1,22/12/2000,OOTH,UN2,,
7005419,1,13/07/2000,OOTH,UN2,,
7005420,1,12/10/2001,OOTH,UN2,,
7006191,1,02/11/2001,BAFR,Z845404416006,,
7006238,1,20/01/2002,WOTH,Y845403616007,,
7007161,1,05/06/2001,AOTH,UN2,,
7010588,1,15/10/2000,BAFR,UN2,,
7010883,1,12/10/2000,OOTH,UN2,,
P4284961,1,01/12/2003,BAFR,P886314414002,,
P4044104,2,24/12/2002,WBRI,H845213507005,,
P4171515,2,20/01/2010,WBRI,P845206214035,0,
P4156465,2,14/05/2010,WBRI,P845309414001,0,
P4186602,1,18/03/2011,WBRI,E845200715039,,
P4292956,1,23/12/2005,WBRI,G925312110011,,
P4119613,1,11/06/2008,WBRI,L845214811005,,
P4225901,1,21/10/2013,WBRI,B845200816052,,
P4041993,1,22/01/2004,WBRI,B845213708055,,
P4282830,2,21/09/2010,WBRI,F845200215055,0,
P4072606,1,27/12/2002,WBRI,X845205907039,,
P4034041,1,02/01/2002,WBRI,Z845215105029,,
P4223291,1,11/09/2013,WBRI,V845210718003,,
P4171540,1,28/06/2007,WBRI,Q845206211023,,
P4092939,1,25/08/2006,WBRI,R845333810047,,
P4186677,1,12/09/2001,WBRI,E845207610018,,
P4117794,2,14/04/2008,MWBC,Y845211310035,0,
P4093816,2,28/01/2007,MOTH,N845211309017,0,
P4007213,2,26/09/2001,WBRI,P845215105052,,
P4167895,2,23/10/2008,WBRI,Y845200213056,0,
P4254706,1,27/12/2014,WROM,W845400220064,,
P4290543,2,09/09/2009,WOTH,Y306690913029,0,
P4222579,2,08/01/2013,WBRI,J845213717014,0,
7001815,1,19/11/2016,WBRI,E845701719010,,
P4159415,1,06/09/2003,WBRI,E845216707038,,
P4020357,2,31/12/2001,WBRI,Y845215104066,,
P4055672,2,20/03/2002,WBRI,H845205305020,,
P4010126,2,06/03/2002,WBRI,H845214805015,,
P4092741,2,04/01/2005,WBRI,C845701209001,,
P4074650,1,06/08/2001,WBRI,U845211105002,,
P4214489,1,25/08/2012,WBRI,Q845200816024,,
P4198786,1,06/09/2012,MOTH,C845217016049,,
7005311,2,13/07/2015,WBRI,Y845406420007,0,
P4282828,1,30/10/2014,WBRI,K845703018027,,
P4241005,1,04/12/2013,WBRI,F845213718013,,
P4153476,1,02/03/2010,WBRI,F845200714060,,
P4245033,1,28/08/2014,WBRI,F845703018005,,
P4153413,2,17/07/2009,WBRI,P845217013007,0,
P4282829,1,11/01/2012,WBRI,A845200216014,,
P4090322,1,08/05/2001,WBRI,,,
P4120810,2,26/10/2008,WBRI,F845211313006,0,
P4054676,2,27/04/2005,WBRI,W845214808028,0,
P4093815,2,28/01/2007,MWBC,C845211309018,0,
7000592,1,09/09/2016,MWBC,UN2,,
P4290542,2,11/09/2010,WOTH,H306690914119,0,
P4131166,1,14/11/2008,WBRI,K845213013027,,
P4037943,1,14/11/2001,WBRI,,,
P4149912,2,28/03/2009,WBRI,C845213613048,0,
7006223,2,30/09/2004,WBRI,U845208809011,0,
P4254708,2,09/09/2014,WBRI,P845332419023,0,
P4180566,1,18/08/2011,WBRI,W845215415030,,
P4074693,1,15/08/2006,WBRI,R845214809007,,
P4293209,2,30/06/2016,WBRI,J845703019010,0,
P4265647,1,28/05/2000,MOTH,Y881288904022,,
P4148855,1,05/10/2007,WBRI,X845205912026,,
P4164169,2,03/08/2010,WBRI,U845201214009,0,
P4093657,1,31/08/2006,WBRI,U845214809018,,
P4073358,1,20/08/2005,WBRI,E845215008006,,
7006222,2,03/06/2003,WBRI,Z846215707056,0,
7012399,1,03/10/2001,OOTH,Y306460316031,,
7013341,1,23/06/2000,BAFR,UN2,,
7020421,1,17/06/2002,BAFR,Z845461017003,,
7022293,1,20/06/2000,BAFR,UN2,,
7024225,1,17/12/2001,AOTH,J845400417001,,
7029900,1,21/05/2001,BAFR,UN2,,
P4225231,2,17/05/2001,WBRI,E845205905005,,
P4193141,1,14/09/2005,WBRI,H845213610029,,
P4154165,1,17/05/2007,WBRI,E845212111021,,
P4148076,2,06/07/2003,WOTH,F845334507003,0,
P4206420,2,05/11/2012,WBRI,F845216115059,0,
P4193063,2,25/08/2011,WBRI,A845214814038,0,
7001524,2,20/05/2016,WOTH,D825302220057,0,
P4264054,1,22/08/2004,WBRI,Q887371207060,,
P4210073,1,24/12/2011,WBRI,H845209517025,,
P4232601,2,07/12/2011,WOTH,K845406416069,0,
P4258611,2,05/02/2003,AOTH,F845213607116,,
P4146531,2,07/11/2007,WBRI,L845214811034,0,
P4177569,2,24/03/2011,WBRI,Q845201115054,0,
7001545,1,09/01/2016,WBRI,T845209920066,,
7000024,1,16/08/2009,WBRI,A845304513019,,
P4271722,1,22/08/2004,WBRI,U887371207062,,
P4177619,1,20/01/2010,MWBA,W845200614038,,
P4179777,2,03/02/2004,WBRI,H845215207062,0,
P4257515,2,08/06/2014,WBRI,N845200617017,0,
P4167266,2,06/09/2008,WBRI,U845209517024,0,
P4152407,2,27/08/2009,WBRI,T845335012064,0,
P4291489,2,02/05/2002,WBRI,B845207705043,,
P4142986,1,10/03/2007,WBRI,R846203711014,,
P4206625,2,16/07/2003,WBRI,X680101806035,0,
P4192617,1,02/07/2011,WBRI,J845200614021,,
P4253237,2,19/10/2014,WBRI,U845210719042,0,
P4215492,1,06/09/2012,WBRI,Z845212017060,,
P4244504,1,23/09/2013,WBRI,N845212017142,,
P4002019,1,01/06/2000,WBRI,Y845309304039,,
P4209766,1,28/02/2013,WBRI,B845309015110,,
7002970,2,25/10/2016,WBRI,UN2,0,
7003891,1,15/12/2016,WBRI,UN2,,
P4045557,2,23/09/2001,MWBC,W845307206012,,
P4223276,2,17/03/2013,WOTH,G845309017073,0,
P4206626,2,10/04/2005,WBRI,B680202208033,0,
P4020295,1,29/06/2000,WBRI,H845212904018,,
P4276415,1,13/10/2015,WOTH,UN2,,
P4078877,1,04/11/2004,WBRI,J845335008034,,
P4054839,1,03/07/2000,WBRI,Z845214204008,,
P4230416,1,30/10/2013,WBRI,T845217015069,,
P4195887,1,17/04/2011,WBRI,B845309215082,,
P4028041,1,15/10/2003,WBRI,Y845214108040,,
7006575,2,06/02/2017,WBRI,W845305821001,0,
P4231427,2,18/03/2004,CHNE,U845335011083,0,
P4045241,2,22/04/2001,MWBC,U845205404028,,
P4210108,1,09/04/2010,MWBA,K845309014014,,
P4162222,1,12/07/2009,WBRI,X845211312017,,
P4055676,2,29/08/2003,WBRI,B845205306015,0,
P4206719,1,09/06/2007,WBRI,G680202210030,,
P4148915,2,15/03/2008,WBRI,X845205310035,0,
P4262378,1,10/03/2015,WBRI,Q84521301732A,,
7011347,1,15/06/2015,WBRI,Z845202019008,,
P4161450,1,22/09/2010,WBRI,H845200315022,,
P4166218,2,02/11/2010,WBRI,M845200313042,0,
7016388,2,12/01/2018,WBRI,UN1,0,
P4196299,1,29/03/2012,WBRI,A845200314053,,
P4074795,2,10/02/2006,WBRI,G845205308032,0,
P4232602,1,06/07/2003,WBRI,R938335007040,,
P4021428,2,08/12/2002,WBRI,A845215407004,,
P4225950,2,12/09/2012,WOTH,Y845336017031,0,
P4186200,2,09/02/2012,WBRI,D845200614064,0,
P4179607,2,01/08/2011,WBRI,T845214814014,0,
P3153428,2,25/11/2000,WBRI,W845211304036,,
P4195890,1,13/03/2009,WBRI,J845309213075,,
P4185967,2,10/10/2004,WBRI,A845213509068,0,
7009124,1,08/01/2016,WBRI,Y845336220011,,
P4161474,2,12/10/2010,WOTH,Z845215113077,0,
P4190429,2,23/02/2002,WBRI,A845205906069,,
P4186418,2,10/03/2010,WBRI,J845200314012,0,
P4112180,1,02/04/2004,WBRI,R845217007032,,
